Id;Created-At;Text
1,59E+18;28/10/2022;RT @TMCPoldaMetro: 07.58 Situasi arus lalu lintas di Traffic light Tugu Tani Jakpus terpantau ramai lancar. https://t.co/eDQEVU5bSu
1,59E+18;28/10/2022;07.58 Situasi arus lalu lintas di Traffic light Tugu Tani Jakpus terpantau ramai lancar. https://t.co/eDQEVU5bSu
1,59E+18;28/10/2022;07.49 Situasi arus lalu lintas di Traffic light Pesing Jakbar terpantau ramai lancar. https://t.co/7hkzPrZs44
1,59E+18;28/10/2022;@TMCPoldaMetro Manusia binatang perusak kriminal,..polisi sarang kejahatan????,@jokowi ,@ListyoSigitP ,@DPR_RI ,@mohmahfudmd ,@detikcom ,@kompascom ,@KodamJayakarta ,@Puspen_TNI ,@tempodotco.. https://t.co/4imZpGXfw3
1,59E+18;28/10/2022;09.05 Polri Sat Lantas Jakarta Timur dalam rangka Jum'at Barokah, membagikan paket sembako kepada masyarakat di Pos Tetap Garuda Unit Lantas Makasar Restro Jaktim. https://t.co/Mt8Y2i7sxU
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;RT @bovaxsholeh: @YoGojekYo @ahmadsahroni88 Tambahan daerah yg rawan jambret bang udh cukup banyak korban nya..  Arah orang terdeket gw jd…
1,59E+18;28/10/2022;@TMCPoldaMetro Manusia binatang perusak kriminal,..polisi sarang kejahatan????,@jokowi ,@ListyoSigitP ,@DPR_RI ,@mohmahfudmd ,@detikcom ,@kompascom ,@KodamJayakarta ,@Puspen_TNI ,@tempodotco.. https://t.co/z40kcLWQoo
1,59E+18;28/10/2022;@TMCPoldaMetro Manusia binatang perusak kriminal,..polisi sarang kejahatan????,@jokowi ,@ListyoSigitP ,@DPR_RI ,@mohmahfudmd ,@detikcom ,@kompascom ,@KodamJayakarta ,@Puspen_TNI ,@tempodotco.. https://t.co/MLrxEjtK90
1,59E+18;28/10/2022;"08.33 Situasi arus lalu lintas Putaran ABC Jl. Daan Mogot Kalideres Jakbar terpantau padat
@TMCPoldaMetro https://t.co/6leyUZ17lq"
1,59E+18;28/10/2022;"08.54: RT @TMCPoldaMetro : Situasi arus lalu lintas Putaran ABC Jl. Daan Mogot Kalideres Jakbar terpantau padat.
#ElshintaNews 
https://t.co/VWpVptI0MK"
1,59E+18;28/10/2022;"08.43: RT @TMCPoldaMetro : Situasi arus lalu lintas di Traffic light Tugu Tani Jakpus terpantau ramai lancar. 
#ElshintaNews 
https://t.co/OfQaWE4KUt"
1,59E+18;28/10/2022;@TMCPoldaMetro Jl. Kuningan utama ditutup, Jl. HR Rasuna Said jalur ganjil genap, mobil plat ganjil disuruh lurus ke Rasuna Said padahal hari ini genap. Trus kena foto tilang eletronik deh.. gimana kompensasinya ya? Yg tutup jalan situ yg kena tilang kok 
1,59E+18;28/10/2022;08.33 Situasi arus lalu lintas Putaran ABC Jl. Daan Mogot Kalideres Jakbar terpantau padat https://t.co/GA9oSrzngz
1,59E+18;28/10/2022;@TMCPoldaMetro skrg koq kurang polisi di jalan tapi ketertiban jd berkurang tdk ada yg awasi. Puteran Sudirman di bundaran Senayan jd 2 jalur. Mgkn jg tempat lain. Mestinya polisi tetap spt biasa bertugasnya. Tx
1,59E+18;28/10/2022;@TMCPoldaMetro Tempat simling di depok berbeda terus infonya, yang bener dimana ya min?
1,59E+18;28/10/2022;"Sayangnya meski ditutup msh banyak motor yg bandel muter balik di seberang KFC. 
Malah lebih ngeri lg ada lawan arus demi muter balik di seberang KFC itu. Padahal kendaraan pada kenceng² krn ngerasanya satu arah https://t.co/n1tcwBLzbt"
1,59E+18;28/10/2022;Pemberlakuan Rekayasa Lalu Lintas sehubungan dengan beroperasinya Off Ramp Jatiwaringin Jalan Tol Becakayu di Jl. Laksamana Malahayati Jaktim. https://t.co/ieK6jwffgt
1,59E+18;28/10/2022;@TMCPoldaMetro Samsat masih banyak calonya bikin SIM gk sampai 30menit bayar 700rb..data dari polsek dikirim kekrabat di samsat Danmogot diproses orangnya suruh datang tunggu gk usah ikut test jadi deh..
1,59E+18;28/10/2022;@TMCPoldaMetro Banyakan pencitraaan depan media,.tapi busuk kalau masuk kantor polisi uang yg diminta utk kasus jasaraharja bagi yg kecelakaaan diminta uang 1,5juta ...
